GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CeSeCore Security JPA Entities,org.cesecore.certificates.crl,CRLData,324,0,8,0,115,0,42,0,38,0
CeSeCore Security JPA Entities,org.cesecore.authorization.user,AccessUserAspectData,433,88,59,5,124,17,63,5,32,4
CeSeCore Security JPA Entities,org.cesecore.authorization.cache,AccessTreeUpdateData,75,0,0,0,29,0,15,0,15,0
CeSeCore Security JPA Entities,org.cesecore.profiles,ProfileData,251,0,4,0,76,0,24,0,22,0
CeSeCore Security JPA Entities,org.cesecore.keybind,InternalKeyBindingData,285,0,6,0,96,0,37,0,34,0
CeSeCore Security JPA Entities,org.cesecore.authorization.rules,AccessRuleData,245,218,38,29,72,65,45,21,19,13
CeSeCore Security JPA Entities,org.cesecore.keys.token,CryptoTokenData,232,0,6,0,80,0,30,0,27,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificate,CertificateStatusHelper,74,0,12,0,21,0,8,0,2,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificate,BaseCertificateData,236,0,54,0,72,0,39,0,12,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificate,Base64CertData,220,0,22,0,67,0,33,0,22,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificate,CertificateData,997,0,90,0,287,0,113,0,68,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificate,NoConflictCertificateData,812,0,92,0,238,0,111,0,65,0
CeSeCore Security JPA Entities,org.cesecore.audit.impl.integrityprotected,AuditRecordData,266,0,2,0,97,0,45,0,44,0
CeSeCore Security JPA Entities,org.cesecore.configuration,GlobalConfigurationData,261,0,6,0,66,0,24,0,21,0
CeSeCore Security JPA Entities,org.cesecore.roles,RoleData,306,0,26,0,89,0,42,0,29,0
CeSeCore Security JPA Entities,org.cesecore.roles,Role,335,70,54,4,97,22,45,10,17,9
CeSeCore Security JPA Entities,org.cesecore.roles,RoleInformation,192,0,32,0,55,0,26,0,10,0
CeSeCore Security JPA Entities,org.cesecore.roles,AccessRulesMigrator,40,338,10,48,12,82,9,23,0,3
CeSeCore Security JPA Entities,org.cesecore.roles,AdminGroupData,228,132,42,26,67,43,44,15,21,4
CeSeCore Security JPA Entities,org.cesecore.certificates.ca,CAData,387,0,19,0,126,0,42,0,32,0
CeSeCore Security JPA Entities,org.cesecore.legacy,Eca7277CertificateProfileData,45,0,2,0,17,0,4,0,3,0
CeSeCore Security JPA Entities,org.cesecore.certificates.certificateprofile,CertificateProfileData,213,0,10,0,73,0,33,0,28,0
CeSeCore Security JPA Entities,org.cesecore.dbprotection,DatabaseProtectionException,32,0,0,0,13,0,5,0,5,0
CeSeCore Security JPA Entities,org.cesecore.dbprotection,ProtectedDataNoopImpl,6,3,0,0,5,1,5,1,5,1
CeSeCore Security JPA Entities,org.cesecore.dbprotection,CachedCryptoToken,170,0,6,0,52,0,31,0,28,0
CeSeCore Security JPA Entities,org.cesecore.dbprotection,ProtectionStringBuilder,44,0,4,0,13,0,7,0,5,0
CeSeCore Security JPA Entities,org.cesecore.dbprotection,ProtectedData,63,32,1,3,19,13,6,3,5,2
CeSeCore Security JPA Entities,org.cesecore.roles.member,RoleMember,133,0,0,0,47,0,20,0,20,0
CeSeCore Security JPA Entities,org.cesecore.roles.member,RoleMemberData,277,0,0,0,91,0,37,0,37,0
